FacilityName,FacilityAddress,ViolationDate,Violation,Disposition,DispositionDate
DULCINEA BAR & GRILL,"9103 GAITHER ROAD , GAITHERSBURG, MD 20877",5/26/2016,SALE TO MINOR,SETTLED; $1000.00 +ALERT,6/30/2016
HYATT SUMMERFIELD SUITES,"200 SKIDMORE BOULEVARD , GAITHERSBURG, MD 20877",5/25/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00,6/24/2016
ARMANDS CHICAGO PIZZERIA,"1909 SEMINARY ROAD , SILVER SPRING, MD 20910",12/22/2015,SALE TO MINOR,"SETTLED; $2,500 + ALERT",2/9/2016
COURTYARD BY MARRIOTT,"204 BOARDWALK PLACE , GAITHERSBURG, MD 20878",5/19/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,6/20/2016
YU-ZHOU CAFE,"576 NORTH FREDERICK AVENUE , GAITHERSBURG, MD 20877",6/16/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,7/12/2016
OGEI'S CHICKEN & SUBS,"293 MUDDY BRANCH ROAD , GAITHERSBURG, MD 20878",2/5/2016,SALE/SERVICE TO INTOXICATED PATRON,HEARING; LICENSE REVOKED; STAY PENDING APPEAL,5/31/2016
PETER CHANG'S CHINA BISTRO,"20 MARYLAND AVENUE , ROCKVILLE, MD 20850",6/6/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,6/23/2016
CHIPOTLE MEXICAN GRILL,"4471 WILLIARD AVENUE , CHEVY CHASE, MD 20815",12/14/2016,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500.00 + ALERT,12/29/2016
ASI ES MI TIERRA,"2559 ENNALLS AVENUE , WHEATON, MD 20902",5/8/2016,SELLING/SERVING ALCOHOL AFTER PERMITTED HOURS,SETTLED; $1000.00 + ALERT,6/24/2016
SLIGO PARK GOLF COURSE SNACK BAR,"9701 SLIGO CREEK PARKWAY , SILVER SPRING, MD 20901",4/26/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,6/2/2016
SMOKE BBQ,"4858 CORDELL AVENUE , BETHESDA, MD 20814",3/23/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,5/2/2016
RUBY TUESDAY,"701 RUSSELL AVE. , GAITHERSBURG, MD 20877-2612",6/9/2016,SALE TO MINOR,"SETTLED; 1,000 + ALERT",7/6/2016
LE PAIN QUOTIDIEN,"7140 BETHESDA LANE , BETHESDA, MD 20814",5/13/2016,SALE TO MINOR,SETTLED; $2500.00 + ALERT,6/17/2016
FISH TACO,"7015 WISCONSIN AVENUE , CHEVY CHASE, MD 20815",12/7/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,1/23/2017
DOUBLETREE HOTEL,"8120 WISCONSIN AVENUE , BETHESDA, MD 20814",4/15/2016,SALE TO MINOR,SETTLED; $2500.00 & ALERT,5/13/2016
NOODLES & COMPANY,"177 KENTLANDS BLVD. SUITE 100, GAITHERSBURG, MD 20878",5/18/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500.00 + ALERT,7/1/2016
TED'S BULLETIN,"220 ELLINGTON BOULEVARD , GAITHERSBURG, MD 20878",5/19/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,6/22/2016
MIX BAR & GRILLE,"8241 GEORGIA AVENUE , SILVER SPRING, MD 20910",8/26/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,12/7/2016
FUSION BAR & GRILL,"15535 NEW HAMPSHIRE AVENUE , SILVER SPRING, MD 20905",3/27/2016,DISPENSING LIQUOR BY BOTTLE FOR CONSUMPTION ONSITE,HEARING; LICENSE REVOKED,10/5/2016
JOSE'S GRILL,"11423 GEORGIA AVE. , WHEATON, MD 20902",1/16/2015,SALE TO MINOR,SETTLED; $3000.00 + ALERT,9/9/2016
EL PUENTE DE ORO,"11123 VEIRS MILL ROAD , WHEATON, MD 20902",8/28/2015,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500 + ALERT,2/1/2016
"GERMANTOWN BEER, WINE & PLUS","19590 FREDERICK ROAD , GERMANTOWN, MD 20874",3/7/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; 100 + ALERT,3/28/2016
CALIFORNIA PIZZA KITCHEN,"136 BOARDWALK PLACE , GAITHERSBURG, MD 20878",5/19/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,7/5/2016
THE GREENE TURTLE,"19961 CENTURY BOULEVARD , GERMANTOWN, MD 20874",11/11/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,12/2/2016
CHIPOTLE MEXICAN GRILL,"7624 OLD GEORGETOWN ROAD , BETHESDA, MD 20814",3/31/2016,SALE TO MINOR,SETTLED; $2500.00 + ALERT,6/24/2016
CAFE 20/20,"4880 BOILING BROOK PARKWAY , ROCKVILLE, MD 20852",11/23/2016,LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100.00 + ALERT,1/24/2017
LESAAC CAFE,"8200 FENTON STREET , SILVER SPRING, MD 20910",5/18/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,6/23/2016
MOGOTILLO RESTAURANT,"7637 NEW HAMPSHIRE AVENUE , TAKOMA PARK, MD 20912",6/26/2015,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,HEARING; $500 FINE,2/19/2016
FOUR U,"8120 PINEY BRANCH ROAD , SILVER SPRING, MD 20910",3/31/2016,SALE TO MINOR,SETTLED; $2500.00 + ALERT,5/11/2016
RESTAURANT POLLOS EL MESON,"615 SOUTH FREDERICK AVENUE , GAITHERSBURG, MD 20877",9/9/2016,FAILURE TO PURCHASE FROM APPROVED SOURCE,SETTLED; $1800.00 + ALERT,10/18/2016
THAI TANIUM,"657 CENTER POINT WAY , GAITHERSBURG, MD 20878",6/8/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,6/17/2016
